2015/10/19 22:19:47 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: Loading user properties from: /home/x/soft/apache-jmeter-2.9/bin/user.properties 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: Loading system properties from: /home/x/soft/apache-jmeter-2.9/bin/system.properties 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: Version 2.9 r1437961 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: java.version=1.8.0_60 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: os.name=Linux 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: os.arch=amd64 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: os.version=3.13.0-65-generic 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: JMeterHome=/home/x/soft/apache-jmeter-2.9 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: user.dir  =/home/x/workspace/axa/qa-scripts/cucumber-axa 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: PWD       =/home/x/workspace/axa/qa-scripts/cucumber-axa 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: x-K55VD FullName: x-K55VD 
2015/10/19 22:19:48 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/10/19 22:19:48 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/10/19 22:19:48 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/10/19 22:19:48 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/10/19 22:19:49 INFO  - jmeter.gui.util.MenuFactory: Skipping kg.apc.jmeter.config.VariablesFromCSVFile 
2015/10/19 22:19:50 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/10/19 22:19:50 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2015/10/19 22:19:50 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/10/19 22:19:50 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/10/19 22:19:50 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/10/19 22:19:50 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/10/19 22:19:50 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2015/10/19 22:19:54 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2015/10/19 22:19:54 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2015/10/19 22:19:54 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/10/19 22:19:54 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/10/19 22:19:54 INFO  - jmeter.engine.StandardJMeterEngine: No enabled thread groups found 
2015/10/19 22:19:54 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
